"Category","Males","Females","Persons"
0,1740,1801,3541
1,1820,1976,3796
2,1995,2051,4046
3,2221,2286,4507
4,2406,2306,4712
5,2875,2680,5555
6,3196,2817,6013
7,3109,2617,5726
8,3147,2683,5830
9,3185,2785,5970
10,3586,2980,6566
11,3715,3059,6774
12,3833,3116,6949
13,4160,3320,7480
14,4356,3481,7837
15,4698,3746,8444
16,4480,3517,7997
17,4729,3655,8384
18,4891,3826,8717
19,5104,3896,9000
20,5617,4234,9851
21,5578,4029,9607
22,5604,4268,9872
23,6141,4691,10832
24,6107,4320,10427
25,6041,4409,10450
26,6524,4611,11135
27,6598,4709,11307
28,6804,4705,11509
29,6813,4850,11663
30,7177,5093,12270
31,7542,5350,12892
32,7715,5500,13215
33,7990,5704,13694
34,8059,5756,13816
35,8313,5929,14241
36,8637,6141,14778
37,8899,6330,15229
Attribution: ©2021 Cancer Australia - https://ncci.canceraustralia.gov.au
